,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
519,Cafe Coffee Day,3.7k,1.6k,"Hospitality - Bangalore , Bengaluru +98 other locations",3.8k,67,26,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
520,Vedantu,3.3k,1.6k,"EdTech - Bangalore , Bengaluru +68 other locations",9.3k,188,9,N/A,"Job Security, Promotions / Appraisal, Work Satisfaction"
521,Adecco Group,3.7k,1.6k,"Bangalore , Bengaluru +159 other locations",6.6k,101,28,N/A,"Promotions / Appraisal, Job Security, Skill Development / Learning"
522,Medi Assist India,3.5k,1.6k,"Insurance - Bangalore , Bengaluru +59 other locations",6.8k,125,38,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
523,Aragen Life Sciences,4.0k,1.6k,"Clinical Research - Hyderabad , Secunderabad +26 other locations",6k,111,50,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
524,CMS Infosystems,3.6k,1.6k,Other - Mumbai +188 other locations,4.3k,62,12,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
525,PI Industries,4.0k,1.6k,Agro Chemicals - Bharuch +98 other locations,6.4k,117,10,"Salary & Benefits, Job Security, Skill Development / Learning",Promotions / Appraisal
526,Zepto,3.5k,1.6k,"Internet - Bangalore , Bengaluru +71 other locations",5.8k,281,21,N/A,"Work Life Balance, Job Security, Promotions / Appraisal"
527,Trident Group,3.4k,1.6k,Fashion & Textile - Barnala +54 other locations,5k,124,9,Salary & Benefits,"Job Security, Work Life Balance, Company Culture"
528,MetLife,4.1k,1.6k,Insurance - Noida +40 other locations,8.1k,96,120,"Work Life Balance, Job Security, Company Culture",N/A
529,Haier Appliances India,4.0k,1.6k,Consumer Electronics & Appliances - Pune +122 other locations,6.3k,138,36,Salary & Benefits,Promotions / Appraisal
530,HTC Global Services,3.5k,1.6k,IT Services & Consulting - Chennai +30 other locations,11.9k,144,82,N/A,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
531,Altruist Technologies,3.2k,1.6k,"BPO - Bangalore , Bengaluru +39 other locations",7.6k,137,7,N/A,"Salary & Benefits, Promotions / Appraisal, Company Culture"
532,V-Guard Industries,4.4k,1.6k,Consumer Electronics & Appliances - Kochi +149 other locations,4.2k,69,20,"Company Culture, Work Life Balance, Job Security",N/A
533,Spinny,3.7k,1.6k,"Internet - Gurgaon , Gurugram +58 other locations",6.3k,180,22,N/A,"Promotions / Appraisal, Job Security, Work Life Balance"
534,Infinx,3.9k,1.6k,"Software Product - Hyderabad , Secunderabad +35 other locations",4.7k,188,18,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
535,NEC,4.3k,1.6k,IT Services & Consulting - Noida +53 other locations,5.4k,70,11,"Work Life Balance, Company Culture, Work Satisfaction",N/A
536,Innovsource Services,3.9k,1.6k,Recruitment - Mumbai +223 other locations,4.3k,68,--,N/A,Promotions / Appraisal
537,Fusion CX,3.5k,1.6k,Kolkata +48 other locations,4k,111,55,N/A,"Promotions / Appraisal, Job Security, Salary & Benefits"
538,Indian Navy,4.6k,1.6k,Defence & Aerospace - Mumbai +69 other locations,3.4k,25,--,"Job Security, Skill Development / Learning, Company Culture",N/A
539,Tata Power,3.9k,1.6k,Power - Mumbai +140 other locations,6.6k,184,4,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
540,BT Business,4.0k,1.6k,"Hardware & Networking - Gurgaon , Gurugram +11 other locations",8.9k,86,1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
541,DHL Supply Chain,4.1k,1.6k,Logistics - Mumbai +89 other locations,5.4k,94,15,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
542,Trent,4.0k,1.5k,Retail - Mumbai +129 other locations,4.1k,88,27,"Job Security, Company Culture, Skill Development / Learning",N/A
543,Tata Play,4.0k,1.5k,Broadcasting - Mumbai +212 other locations,4.5k,75,--,"Company Culture, Job Security, Salary & Benefits",N/A
544,USHA International,4.1k,1.5k,"Consumer Electronics & Appliances - Gurgaon , Gurugram +130 other locations",4.5k,94,9,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
545,BA Continuum,4.1k,1.5k,"NBFC - Hyderabad , Secunderabad +17 other locations",9.8k,103,--,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
546,Jindal Saw,4.0k,1.5k,Iron & Steel - Mundra +71 other locations,5.9k,120,8,Job Security,N/A
547,Metro Cash & Carry,4.1k,1.5k,"Retail - Bangalore , Bengaluru +83 other locations",4.7k,65,--,"Job Security, Skill Development / Learning, Company Culture",N/A
548,Tata Communications Transformation Services,4.0k,1.5k,Telecom - Pune +88 other locations,8k,88,--,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
549,Reckitt Benckiser,4.0k,1.5k,"FMCG - Gurgaon , Gurugram +119 other locations",5.9k,92,41,"Salary & Benefits, Work Life Balance",Promotions / Appraisal
550,Aadhar Housing Finance,4.1k,1.5k,Financial Services - Mumbai +291 other locations,4.3k,104,4,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
551,Exela Technologies,3.3k,1.5k,IT Services & Consulting - Chennai +26 other locations,7.7k,90,--,N/A,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
552,NeoSOFT,3.6k,1.6k,IT Services & Consulting - Mumbai +23 other locations,9.8k,277,13,N/A,"Job Security, Promotions / Appraisal"
553,Manipal Hospitals,4.1k,1.5k,"Healthcare - Bangalore , Bengaluru +64 other locations",5.7k,99,53,"Job Security, Skill Development / Learning, Company Culture",N/A
554,First American Corporation,3.5k,1.5k,"Insurance - Bangalore , Bengaluru +21 other locations",8.4k,80,47,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
555,MagicBricks,4.2k,1.5k,Internet - Noida +32 other locations,4.1k,335,66,"Work Life Balance, Skill Development / Learning, Salary & Benefits",N/A
556,Aditya Birla Health Insurance Co,3.9k,1.5k,Insurance - Mumbai +230 other locations,6.6k,93,4,"Job Security, Skill Development / Learning",Promotions / Appraisal
557,Polycab Wires,4.0k,1.5k,Electrical Equipment - Vadodara +148 other locations,6.2k,110,8,"Work Life Balance, Salary & Benefits",N/A
558,Tata Teleservices,4.0k,1.5k,Telecom - Mumbai +134 other locations,3.4k,30,40,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
559,USV,4.0k,1.5k,Pharma - Mumbai +99 other locations,5.3k,76,28,"Company Culture, Work Life Balance, Job Security",N/A
560,Matrimony.com,4.2k,1.5k,Internet - Chennai +62 other locations,4.3k,94,19,"Company Culture, Work Life Balance, Job Security",N/A
561,HCL Infosystems,3.9k,1.5k,"IT Services & Consulting - Bangalore , Bengaluru +105 other locations",7.7k,143,1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
562,DIVI'S Laboratories,3.7k,1.5k,Pharma - Visakhapatnam +34 other locations,6.3k,81,--,Job Security,"Company Culture, Work Satisfaction, Promotions / Appraisal"
563,Shadowfax Technologies,3.5k,1.5k,"Logistics - Bangalore , Bengaluru +201 other locations",6.2k,138,18,N/A,"Job Security, Promotions / Appraisal, Company Culture"
564,Tata Electronics,4.0k,1.5k,Semiconductors - Hosur +31 other locations,7.1k,169,15,"Job Security, Company Culture",Promotions / Appraisal
565,FactSet,3.8k,1.5k,"Financial Services - Hyderabad , Secunderabad +16 other locations",9.5k,215,35,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
566,Hindustan Petroleum,4.2k,1.5k,Oil & Gas - Mumbai +230 other locations,5.4k,107,--,"Company Culture, Work Life Balance, Job Security",N/A
567,Chegg,4.1k,1.5k,EdTech - New Delhi +78 other locations,3.9k,159,11,"Work Life Balance, Company Culture, Skill Development / Learning","Job Security, Promotions / Appraisal"
568,Honda,4.1k,1.5k,"Automobile - Gurgaon , Gurugram +213 other locations",4.2k,104,4,"Work Life Balance, Job Security, Company Culture",N/A
569,HighRadius,2.8k,1.5k,"Software Product - Hyderabad , Secunderabad +16 other locations",7.8k,197,13,N/A,"Job Security, Work Satisfaction, Company Culture"
570,Mother Dairy Fruit & Vegetable,4.1k,1.5k,Food Processing - New Delhi +119 other locations,4.6k,81,--,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
571,Cavinkare,4.0k,1.5k,FMCG - Chennai +158 other locations,4.8k,62,12,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
572,HERE Technologies,3.8k,1.5k,IT Services & Consulting - Mumbai +17 other locations,7.4k,98,16,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
573,Orange Business,4.3k,1.5k,"IT Services & Consulting - Gurgaon , Gurugram +49 other locations",8.5k,102,152,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
574,CMA CGM,3.9k,1.5k,Ports & Shipping - Chennai +29 other locations,8k,96,20,"Job Security, Company Culture",Promotions / Appraisal
575,Bata,3.6k,1.5k,"Fashion & Textile - Gurgaon , Gurugram +136 other locations",3.8k,68,3,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
576,Frankfinn Institute of Air Hostess Training,3.9k,1.5k,"Education & Training - Gurgaon , Gurugram +59 other locations",3.3k,108,52,"Company Culture, Work Life Balance, Work Satisfaction",N/A
577,JSW Bhushan Power & Steel,4.0k,1.5k,Jharsuguda +57 other locations,4.8k,64,--,Skill Development / Learning,Promotions / Appraisal
578,Verizon,4.0k,1.5k,"Telecom - Hyderabad , Secunderabad +10 other locations",10.4k,117,108,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
579,Yamaha Motor,4.1k,1.5k,Automobile - Chennai +138 other locations,5k,71,--,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal
580,Isgec Heavy Engineering,3.8k,1.5k,Industrial Machinery - Noida +81 other locations,6.4k,127,40,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
581,DHL Express,4.1k,1.5k,Logistics - Mumbai +90 other locations,5.9k,71,--,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
582,ICICI Home Finance,3.8k,1.5k,Financial Services - Mumbai +200 other locations,4.7k,85,2,Salary & Benefits,Work Satisfaction
583,Arvind Group,4.0k,1.5k,Fashion & Textile - Ahmedabad +86 other locations,5.1k,66,--,"Work Life Balance, Job Security",Promotions / Appraisal
584,Security and Intelligence Services (India),4.2k,1.5k,Law Enforcement & Security - New Delhi +180 other locations,4.1k,65,101,"Job Security, Work Life Balance, Company Culture",N/A
585,Johnson & Johnson,4.0k,1.5k,Healthcare - Mumbai +153 other locations,5.6k,100,8,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
586,Haldiram Foods International Limited,3.8k,1.5k,FMCG - Nagpur +134 other locations,5.4k,127,--,N/A,"Promotions / Appraisal, Company Culture"
587,Aye Finance,4.1k,1.5k,"NBFC - Gurgaon , Gurugram +310 other locations",3.1k,70,37,"Salary & Benefits, Company Culture, Work Life Balance",N/A
588,KONE,4.1k,1.4k,Industrial Machinery - Chennai +66 other locations,5.4k,114,29,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
589,HDFC Securities,3.5k,1.5k,Mumbai +176 other locations,5.7k,111,43,N/A,"Work Satisfaction, Promotions / Appraisal, Company Culture"
590,CorroHealth infotech,3.2k,1.5k,"Analytics & KPO - Hyderabad , Secunderabad +28 other locations",5.9k,161,73,N/A,"Work Life Balance, Company Culture, Work Satisfaction"
591,Procter & Gamble,4.1k,1.4k,FMCG - Mumbai +229 other locations,5.3k,121,--,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
592,Wockhardt,3.8k,1.4k,Pharma - Aurangabad +80 other locations,4k,54,16,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
593,Vardhman Fabrics,4.0k,1.4k,Fashion & Textile - Baddi +56 other locations,5.1k,66,7,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
594,Stellar Migration,1.4k,1.4k,Dubai +2 other locations,--,2,--,N/A,"Company Culture, Work Life Balance, Work Satisfaction"
595,Medanta the Medicity,4.0k,1.4k,"Gurgaon , Gurugram +41 other locations",4.6k,104,55,"Job Security, Skill Development / Learning",Promotions / Appraisal
596,Air India,3.6k,1.4k,Aviation - New Delhi +60 other locations,6.4k,160,9,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
597,Taurus BPO Services,4.5k,1.4k,BPO - Pune +19 other locations,808,28,2,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
598,Hero Motors Company,4.0k,1.4k,Automobile - Ghaziabad +214 other locations,5.7k,90,3,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
599,Wipro Enterprises Ltd,3.8k,1.4k,"FMCG - Bangalore , Bengaluru +109 other locations",7.3k,181,125,Job Security,"Promotions / Appraisal, Salary & Benefits"
600,Caterpillar Inc,4.2k,1.4k,Industrial Machinery - Chennai +40 other locations,9.2k,185,105,"Company Culture, Work Life Balance, Job Security",N/A
601,Pine Labs,3.3k,1.4k,Financial Services - Noida +97 other locations,6.3k,121,8,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
602,CG Power and Industrial Solutions,3.9k,1.4k,Electrical Equipment - Bhopal +89 other locations,5.9k,89,--,Job Security,Promotions / Appraisal
603,AkzoNobel,4.0k,1.4k,Chemicals - Pune +143 other locations,3.9k,66,25,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal
604,Emami,3.9k,1.4k,FMCG - Kolkata +165 other locations,4.8k,93,7,"Job Security, Work Life Balance",Promotions / Appraisal
605,TELUS Digital,3.7k,1.4k,BPO - Noida +23 other locations,8.4k,111,43,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
606,Mercer,3.7k,1.4k,Management Consulting - New Delhi +18 other locations,9.1k,86,104,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
607,XL Dynamics,3.1k,1.4k,IT Services & Consulting - Mumbai +29 other locations,3.4k,85,7,N/A,"Job Security, Company Culture, Work Life Balance"
608,Marico,3.9k,1.4k,FMCG - Mumbai +167 other locations,5.2k,96,17,"Salary & Benefits, Company Culture, Job Security",Promotions / Appraisal
609,Cushman & Wakefield,4.1k,1.4k,"Real Estate - Gurgaon , Gurugram +42 other locations",5.8k,90,55,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
610,Belrise Industries,3.8k,1.4k,Auto Components - Pune +48 other locations,5.9k,98,12,N/A,"Promotions / Appraisal, Salary & Benefits"
611,Oracle Cerner,3.7k,1.4k,"Software Product - Bangalore , Bengaluru +6 other locations",10.3k,160,--,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
612,L.G.Balakrishnan & Bros,3.6k,1.4k,Auto Components - Coimbatore +54 other locations,5.5k,65,2,N/A,"Salary & Benefits, Promotions / Appraisal, Company Culture"
613,ZF Commercial Vehicle Control Systems,3.9k,1.4k,Auto Components - Chennai +43 other locations,3.5k,61,--,N/A,"Promotions / Appraisal, Job Security"
614,Honeywell Technology Solutions,3.7k,1.4k,"Defence & Aerospace - Bangalore , Bengaluru +19 other locations",11.3k,155,43,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
615,Godrej Properties,3.6k,1.4k,Real Estate - Mumbai +32 other locations,7.2k,102,12,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Company Culture"
616,CSB Bank,3.2k,1.4k,Banking - Mumbai +197 other locations,6.1k,84,6,N/A,"Company Culture, Work Satisfaction, Promotions / Appraisal"
617,iOPEX Technologies,3.4k,1.4k,IT Services & Consulting - Chennai +15 other locations,5.2k,73,5,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
618,Capri Global Capital,3.6k,1.4k,NBFC - New Delhi +280 other locations,3.7k,65,46,N/A,"Work Satisfaction, Job Security, Promotions / Appraisal"
619,Marriott International,4.2k,1.4k,"Hospitality - Bangalore , Bengaluru +86 other locations",4.7k,89,802,"Job Security, Skill Development / Learning, Company Culture",N/A
620,Max Fashion,4.1k,1.4k,"Retail - Bangalore , Bengaluru +145 other locations",3.3k,62,5,"Skill Development / Learning, Company Culture, Job Security",N/A
621,LivSpace,3.6k,1.4k,"Architecture & Interior Design - Bangalore , Bengaluru +49 other locations",7.2k,149,210,N/A,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
622,Tesco,3.8k,1.4k,"Retail - Bangalore , Bengaluru +16 other locations",7.9k,135,50,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
623,IDC Technologies,3.2k,1.4k,IT Services & Consulting - Noida +62 other locations,7.2k,71,--,N/A,"Promotions / Appraisal, Job Security, Company Culture"
624,Tata Group,4.2k,1.4k,IT Services & Consulting - Mumbai +165 other locations,5.1k,370,3,"Company Culture, Work Life Balance, Job Security",N/A
625,Goldman Sachs,3.5k,1.4k,"Bangalore , Bengaluru +22 other locations",16.6k,387,650,N/A,"Work Life Balance, Work Satisfaction, Job Security"
626,Hitachi Astemo,4.0k,1.4k,Auto Components - Neemrana +44 other locations,5.4k,122,--,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
627,Dainik Bhaskar Group,4.2k,1.4k,Printing & Publishing - Bhopal +133 other locations,4.3k,62,68,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
628,Welspun Living Limited,4.0k,1.3k,Fashion & Textile - Anjar +74 other locations,4.6k,70,1,"Skill Development / Learning, Company Culture, Job Security",N/A
629,KFC,4.1k,1.4k,New Delhi +159 other locations,2.9k,66,--,"Skill Development / Learning, Company Culture, Job Security",N/A
630,Oberoi Group of Hotels,4.1k,1.3k,Hospitality - New Delhi +34 other locations,3.8k,92,--,"Job Security, Skill Development / Learning, Company Culture",N/A
631,Granules India Limited,3.8k,1.3k,"Pharma - Hyderabad , Secunderabad +17 other locations",5.7k,71,4,N/A,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
632,Krishna Maruti,3.9k,1.3k,"Auto Components - Gurgaon , Gurugram +39 other locations",4.8k,103,11,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
633,Bajaj Capital,3.7k,1.3k,Financial Services - New Delhi +156 other locations,3.6k,86,91,N/A,Promotions / Appraisal
634,Big Bazaar,4.3k,1.3k,Retail - New Delhi +157 other locations,3.1k,43,7,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
635,Broadridge Financial Solutions,3.9k,1.3k,"FinTech - Hyderabad , Secunderabad +12 other locations",10.1k,144,86,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
636,Teva Pharmaceuticals,4.0k,1.3k,Pharma - Mumbai +49 other locations,5.2k,95,4,"Work Life Balance, Company Culture",Promotions / Appraisal
637,Aon,3.8k,1.3k,"Financial Services - Gurgaon , Gurugram +23 other locations",5.6k,71,38,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
638,Compass Group Support Services,4.0k,1.3k,"Facility Management Services - Bangalore , Bengaluru +68 other locations",5k,66,8,"Company Culture, Work Life Balance, Job Security",N/A
639,AB InBev India,3.4k,1.3k,"Beverage - Bangalore , Bengaluru +74 other locations",7.1k,107,68,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
640,K12 Techno Services,3.0k,1.4k,"EdTech - Bangalore , Bengaluru +36 other locations",4.8k,162,200,N/A,"Job Security, Promotions / Appraisal, Company Culture"
641,TTEC India,3.7k,1.3k,BPO - Ahmedabad +31 other locations,4.8k,139,18,Company Culture,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
642,Asahi India Glass,3.8k,1.3k,Auto Components - Chennai +78 other locations,4.6k,88,3,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
643,Suguna Foods,4.0k,1.3k,Food Processing - Coimbatore +182 other locations,3.8k,77,18,N/A,Promotions / Appraisal
644,Nayara Energy,4.1k,1.3k,Petrochemicals - Jamnagar +89 other locations,5.7k,85,3,"Salary & Benefits, Job Security, Company Culture",N/A
645,Annapurna Finance,4.0k,1.3k,NBFC - Bhubaneswar +337 other locations,3.4k,73,9,"Salary & Benefits, Job Security",N/A
646,Godrej Industries Group,3.9k,1.3k,Chemicals - Mumbai +132 other locations,2.8k,131,9,"Job Security, Company Culture",Promotions / Appraisal
647,Clover Infotech,3.5k,1.3k,IT Services & Consulting - Mumbai +21 other locations,10.6k,118,134,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
648,IFB,3.6k,1.3k,"Consumer Electronics & Appliances - Bangalore , Bengaluru +157 other locations",4.9k,103,--,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
649,ITD Cementation India,4.3k,1.3k,Engineering & Construction - Kolkata +81 other locations,4k,78,7,"Job Security, Company Culture, Work Satisfaction",N/A
650,Gland Pharma,3.9k,1.3k,"Medical Equipment - Hyderabad , Secunderabad +31 other locations",5.7k,82,6,"Work Life Balance, Job Security",Salary & Benefits
651,Relaxo Footwear,4.1k,1.3k,Fashion & Textile - New Delhi +140 other locations,4.3k,92,51,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
652,Hyatt Regency,4.2k,1.3k,Hospitality - New Delhi +45 other locations,3.2k,44,--,"Company Culture, Job Security, Skill Development / Learning",N/A
653,Evalueserve,3.2k,1.3k,"IT Services & Consulting - Gurgaon , Gurugram +14 other locations",9.6k,124,66,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
654,NIIT,3.6k,1.3k,"Education & Training - Gurgaon , Gurugram +102 other locations",5.9k,91,59,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
655,TCS iON,3.9k,1.3k,IT Services & Consulting - Chennai +107 other locations,3.8k,382,--,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
656,Satin Creditcare Network,4.0k,1.3k,"NBFC - Gurgaon , Gurugram +271 other locations",2.9k,52,14,"Company Culture, Work Life Balance, Job Security",N/A
657,Toyota Kirloskar Motor,4.4k,1.3k,"Automobile - Bangalore , Bengaluru +83 other locations",4k,57,--,"Company Culture, Skill Development / Learning, Job Security",N/A
658,Adani Green Energy,4.1k,1.3k,Power - Ahmedabad +96 other locations,4.9k,119,--,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
659,Supreme Industries,4.0k,1.3k,Petrochemicals - Gwalior +110 other locations,5.1k,77,--,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
660,Faurecia,3.9k,1.3k,Auto Components - Pune +28 other locations,6.1k,68,122,"Company Culture, Skill Development / Learning",Promotions / Appraisal
661,GMR Group,4.0k,1.3k,Engineering & Construction - New Delhi +62 other locations,4.2k,89,144,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
662,Sony,4.2k,1.3k,Consumer Electronics & Appliances - New Delhi +133 other locations,4.4k,75,18,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
663,Daimler India Commercial Vehicles,4.0k,1.3k,Automobile - Chennai +44 other locations,6.2k,65,17,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
664,Sheenlac Paints,4.5k,1.3k,Chemicals - Chennai +159 other locations,1.6k,206,1,"Company Culture, Work Life Balance, Work Satisfaction",N/A
665,Sanofi,4.2k,1.3k,"Pharma - Hyderabad , Secunderabad +81 other locations",4.7k,75,166,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
666,Sysnet Global Technologies,3.8k,1.5k,IT Services & Consulting - New Delhi +128 other locations,3.8k,118,119,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
667,Ashoka Buildcon,4.1k,1.3k,Engineering & Construction - Nashik +144 other locations,4k,70,2,"Salary & Benefits, Company Culture, Work Life Balance",N/A
668,Devyani International,3.8k,1.3k,Hospitality - New Delhi +114 other locations,3.3k,56,13,Skill Development / Learning,Promotions / Appraisal
669,FedEx Express,3.9k,1.3k,Logistics - Mumbai +93 other locations,4.4k,98,23,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
670,Gujarat Fluorochemicals,3.9k,1.3k,Chemicals - Bharuch +27 other locations,5.9k,90,71,"Job Security, Work Life Balance",Promotions / Appraisal
671,Canara Bank,3.4k,1.3k,"Banking - Bangalore , Bengaluru +185 other locations",3.7k,46,--,Job Security,"Work Life Balance, Company Culture, Work Satisfaction"
672,Valeo,4.0k,1.3k,Auto Components - Chennai +21 other locations,7.5k,96,101,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
673,Amul India,4.1k,1.3k,Food Processing - Mumbai +188 other locations,3.7k,131,5,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
674,NTT DATA Business Solutions,3.8k,1.3k,"IT Services & Consulting - Bangalore , Bengaluru +31 other locations",10.8k,79,84,N/A,Promotions / Appraisal
675,Lumax Industries,4.0k,1.3k,"Auto Components - Gurgaon , Gurugram +34 other locations",5.4k,81,5,"Job Security, Skill Development / Learning",Promotions / Appraisal
676,Oracle Financial Services Software,3.5k,1.3k,"Software Product - Bangalore , Bengaluru +21 other locations",11.2k,180,--,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
677,QualityKiosk Technologies,3.4k,1.3k,IT Services & Consulting - Mumbai +20 other locations,10.3k,151,307,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
678,ISS Facility Services,4.1k,1.3k,Facility Management Services - Mumbai +63 other locations,3.9k,60,22,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
679,Xiaomi,3.8k,1.3k,"Consumer Electronics & Appliances - Bangalore , Bengaluru +200 other locations",5.4k,97,8,N/A,Promotions / Appraisal
680,Aforeserve,3.4k,1.3k,IT Services & Consulting - Mumbai +151 other locations,3.7k,84,35,N/A,"Promotions / Appraisal, Salary & Benefits, Job Security"
681,Narayana Educational Society,3.6k,1.3k,"Hyderabad , Secunderabad +139 other locations",4.1k,61,18,N/A,"Promotions / Appraisal, Work Life Balance, Company Culture"
682,Patanjali Foods,3.8k,1.3k,FMCG - Indore +204 other locations,3.6k,69,1,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
683,Bharat Forge,3.9k,1.3k,Auto Components - Pune +26 other locations,5.7k,62,6,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
684,Bisleri,4.2k,1.3k,Beverage - Mumbai +149 other locations,3.9k,100,8,"Job Security, Work Life Balance, Salary & Benefits",N/A
685,JioMart,3.9k,1.3k,Retail - Mumbai +283 other locations,3.9k,100,--,"Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Job Security"
686,Tata 1mg,3.6k,1.3k,"Internet - Gurgaon , Gurugram +58 other locations",5.9k,176,51,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
